"";"NES";"AUC";"TF_highConf";"nEnrGenes";"enrichedGenes"
"1";5,65;0,0853;"";15;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;HMGB2;LY96;MNDA;PSMB6;PSMB8;PSMB9;REEP5;TRAPPC5"
"2";5,6;0,0846;"";12;"CALM2;CFP;EVI2B;FKBP1A;GLIPR1;MNDA;NDUFC2;PSMB6;PSMB8;PSMB9;TKT;TRAPPC5"
"3";5,54;0,0839;"KLF17; KLF18 (inferredBy_Orthology). ";13;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;TRAPPC5"
"4";5,43;0,0825;"SPIB (directAnnotation). ";6;"CFP;CORO1A;EVI2B;GLIPR1;PLBD1;SLC7A7"
"5";5,42;0,0824;"SPIB (directAnnotation). ";11;"C3AR1;CD37;CFP;CORO1A;EVI2B;GLIPR1;HSBP1;NRG1;PHC2;PLBD1;TKT"
"6";5,33;0,0813;"";14;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;NRG1;PSMB6;PSMB8;PSMB9;TRAPPC5"
"7";5,16;0,0792;"";14;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;SLC7A7;TRAPPC5"
"8";5,16;0,0792;"FOXA1 (directAnnotation). ";5;"CD37;CLIC1;COTL1;MSRB2;VAMP5"
"9";5,11;0,0785;"";6;"ASGR1;BLVRB;C3AR1;CFP;GCA;NKG7"
"10";5,07;0,078;"ETS1; ZNF354C (directAnnotation). ";5;"GMFG;IFI16;JDP2;NKG7;PHC2"
"11";4,96;0,0767;"";15;"CALM2;CFP;COPS9;COTL1;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PRELID1;PSMB6;PSMB8;PSMB9;TRAPPC5"
"12";4,87;0,0755;"SPI1 (directAnnotation). ";6;"C3AR1;CD37;CORO1A;EVI2B;GLIPR1;PLBD1"
"13";4,84;0,0751;"";13;"CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;TRAPPC5"
"14";4,82;0,0748;"";14;"ASGR1;CALM2;CFP;COPS9;DYNLT1;EVI2B;FKBP1A;GLIPR1;LY96;MNDA;PSMB6;PSMB8;PSMB9;TRAPPC5"
"15";4,79;0,0745;"IRF9 (directAnnotation). ";17;"ASGR1;C3AR1;CALM2;CNIH4;DYNLT1;GLIPR1;IFI16;MNDA;MSRB2;NKG7;NRG1;PHC2;PSMA2;PSMB8;PSMB9;SLC7A7;TKT"
